,season_year,season_type,week,home_team,home_score,away_team,away_score,team,forced_fumble,fg_block,fumble_rec,fumble_rec_tds,kicking_rec_tds,kickret_tds,puntret_tds,puntret_tds,ints,int_tds,misc_tds,punt_block,safety,sack,xp_block
208,2016,Regular,4,CIN,22,MIA,7,CIN,1,0,1,0,0,0,0,0,1,0,0,0,0,5.0,0
209,2016,Preseason,4,MIA,10,TEN,21,MIA,1,0,1,0,0,0,0,0,2,0,0,0,0,2.0,0
210,2016,Preseason,4,MIN,27,UNK,25,UNK,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0
211,2016,Preseason,4,SD,21,SF,31,SD,0,0,0,0,0,0,0,0,2,0,0,0,0,1.0,0
212,2016,Preseason,4,NYG,17,NE,9,NE,2,0,1,0,0,0,0,0,1,0,0,0,0,3.0,0
213,2016,Preseason,4,ATL,17,JAC,15,ATL,0,0,1,0,0,0,0,0,1,0,0,0,0,2.0,0
214,2016,Regular,4,CHI,17,DET,14,DET,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,0
215,2016,Preseason,4,SD,21,SF,31,SF,1,0,1,0,0,0,0,0,2,0,0,0,0,3.0,0
216,2016,Preseason,4,MIN,27,UNK,25,MIN,0,0,3,0,0,1,0,0,1,0,0,0,0,4.0,0
217,2016,Preseason,4,DET,31,BUF,0,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
218,2016,Preseason,4,DAL,17,HOU,28,DAL,1,0,1,0,0,0,0,0,1,1,0,0,0,1.0,0
219,2016,Regular,4,HOU,27,TEN,20,HOU,0,0,0,0,0,0,1,1,1,0,0,0,0,1.0,0
220,2016,Preseason,4,PHI,14,NYJ,6,PHI,1,0,0,0,0,0,1,1,1,1,0,0,0,1.0,0
221,2016,Preseason,4,TB,13,WAS,20,WAS,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
222,2016,Regular,4,NYJ,17,SEA,27,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
223,2016,Regular,4,PIT,43,KC,14,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
